Member State,Total population (2002),Annual Growth Rate (%) 1992-2002,Dependency ratio 1992,Dependency ratio 2002,Percentage of population aged 60+ (1992),Percentage of population aged 60+ (2002),Total Fertility Rate 1992,Total Fertility Rate 2002,LIFE EXPECTANCY AT BIRTH BOTH SEXES 2002 (YEARS),LIFE EXPECTANCY AT BIRTH MALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Upper Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Upper Bound Uncertainty Interval,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) 
Iceland,287.333,1,55,53,14.8,15.3,2.2,2,80.1,78.4,77.8,79,81.8,81.4,82.2,4,4,5,3,3,3,85,79,92,55,51,60
India,1049549.474,1.8,68,62,6.9,7.7,3.8,3.1,61,60.1,59.4,60.8,62,61.1,62.8,87,81,92,95,86,106,291,268,314,220,197,243
Indonesia,217131.218,1.4,64,54,6.4,7.9,3.1,2.4,66.4,64.9,64.1,65.8,67.9,67.1,68.8,45,40,50,36,33,40,244,226,261,208,194,224
"Iran, Islamic Republic of ",68070.412,1.4,93,59,5.9,6.4,4.5,2.4,68.9,66.5,65.4,67.8,71.7,70.5,72.8,42,33,50,36,29,43,213,194,230,132,121,145
Iraq,24510.137,2.9,88,79,4.4,4.6,5.7,4.8,61,59.1,57.1,60.9,63.1,61.3,64.9,119,101,139,110,94,127,252,228,278,176,155,197
Ireland,3910.84,1,60,47,15.3,15.3,2,1.9,77.1,74.4,73.8,75,79.8,79.3,80.1,8,7,9,6,5,7,113,105,121,66,62,71
Israel,6304.151,2.7,66,61,12.6,13.1,2.9,2.7,79.4,77.3,77.1,77.5,81.4,81.2,81.5,7,6,8,6,6,7,98,95,101,53,50,56
Italy,57482.385,0.1,45,49,21.7,24.5,1.3,1.2,79.7,76.8,76.4,77.1,82.5,82.2,82.8,5,5,6,5,4,5,96,92,100,49,46,51
Jamaica,2626.686,0.9,73,61,9.9,9.6,2.8,2.4,72.8,71.1,69.9,72.5,74.6,73.6,75.6,16,13,19,14,11,17,162,137,184,121,107,134
Japan,127477.581,0.2,43,48,18.6,24.4,1.5,1.3,81.9,78.4,78.4,78.4,85.3,85.2,85.3,4,4,4,4,4,4,95,95,96,46,45,46
Jordan,5328.808,3.9,91,69,4.4,4.8,5,3.6,70.8,68.6,67.7,69.8,73.3,72.6,74,28,23,32,26,22,30,191,171,210,121,113,130
Kazakhstan,15468.738,-0.9,59,51,9.4,11.5,2.5,2,63.6,58.7,58,59.4,68.9,68.1,69.7,38,29,48,28,21,36,426,385,462,195,177,213
Kenya,31540.42,2.3,104,82,4.1,4.2,5.5,4.1,50.9,49.8,43.8,57.4,51.9,44.8,59.3,119,108,129,113,104,122,509,328,684,448,285,642
Kiribati,86.508,1.5,70,68,6.2,7,4.7,4.1,64.1,61.8,60.8,62.8,66.7,65.6,67.6,80,74,88,69,60,79,293,260,327,190,167,215
Kuwait,2443.419,2.1,56,38,2.1,2.7,3.3,2.7,76.2,75.8,74.7,77.1,76.9,74.8,79,14,10,19,11,8,15,81,72,91,63,48,80
Kyrgyzstan,5067.096,1.3,75,64,8.4,8.7,3.5,2.7,64.5,60.4,59.5,61.4,68.9,68.1,69.8,63,50,76,55,44,66,345,314,371,163,146,180
Lao People's Democratic Republic,5529.203,2.4,91,84,5.9,5.5,5.9,4.8,55.1,54.1,51.4,56.7,56.2,53.5,58.8,146,120,174,131,106,158,338,303,373,306,278,333
Latvia,2329.099,-1.3,51,48,18.4,21.8,1.7,1.1,70.3,64.6,64.3,64.9,75.8,75.6,76.1,15,12,17,12,10,14,327,320,334,118,113,122
Lebanon,3595.648,2.3,65,56,8.3,8.6,2.9,2.2,69.8,67.6,66.4,68.8,72,71.1,73.1,35,31,39,29,26,32,201,177,225,139,123,154
Lesotho,1799.981,1.1,94,81,6.7,6.9,4.8,3.9,35.7,32.9,29.3,38.5,38.2,33,44.9,166,133,201,160,128,191,902,791,965,742,599,853
Liberia,3239.444,4.6,97,96,3.9,3.7,6.9,6.8,41.8,40.1,32.2,47,43.7,34.8,51.7,242,197,293,222,178,262,582,435,773,471,283,690
Libyan Arab Jamahiriya,5444.726,2,81,54,4.5,6,4.3,3.1,72.6,70.4,66.3,73.8,75.5,73,77.8,19,16,21,17,15,20,173,110,263,99,65,142
Lithuania,3465.033,-0.6,51,51,16.9,19.7,1.8,1.3,71.9,66.2,65.2,67,77.6,77,78.2,11,9,13,9,7,11,303,272,341,103,94,112
Luxembourg,447.216,1.5,44,49,18.1,18.3,1.6,1.7,78.8,75.7,75.3,76.2,81.7,81.1,82.3,5,4,7,5,4,6,119,113,125,64,58,70
Madagascar,16916.403,2.9,92,91,4.8,4.7,6.2,5.7,56.3,54.4,46.8,61,58.4,49.5,65,145,126,164,125,110,141,333,177,543,262,123,474
Malawi,11871.132,1.9,94,99,4.8,5.2,6.8,6.1,40.2,39.8,35,45.2,40.6,35,47.1,197,183,210,190,178,203,657,509,803,610,449,769
Malaysia,23965.311,2.4,67,60,5.8,6.7,3.7,2.9,72,69.6,69.1,70.1,74.7,74.4,75.1,10,8,11,8,7,10,192,181,202,106,100,111
Maldives,308.913,3,99,86,5.4,5.2,6.2,5.4,66.1,66.5,65.7,67.4,65.6,64.9,66.5,38,33,42,43,38,49,205,179,231,202,174,229
Mali,12622.744,2.8,103,107,3.9,3.8,7,7,44.8,43.9,35.8,49.7,45.7,36.8,54,233,211,256,224,200,244,487,328,718,417,210,662
Malta,392.649,0.7,51,47,15.1,17.5,2,1.8,78.1,75.9,75.2,76.5,80.3,79.3,81.2,7,6,9,6,4,8,87,82,94,51,44,59
Marshall Islands,52.342,1.3,70,68,6.2,7,6.3,5.5,62.7,61.1,59.5,62.9,64.6,63.2,66.2,46,34,57,36,27,45,340,310,368,286,264,307
Mauritania,2807.138,2.8,89,87,5.3,5.3,6.1,5.8,52.1,49.8,41.7,56.1,54.5,44.7,61.3,186,158,214,155,132,178,393,245,603,304,156,536
Mauritius,1209.576,1.1,52,46,8.4,9,2.3,2,71.9,68.4,67.6,69.2,75.5,75,76,20,16,25,14,11,19,222,202,243,116,109,123
Mexico,101965.013,1.7,71,61,6,7.2,3.2,2.5,74.4,71.7,71,72.3,77,76.5,77.4,30,26,34,24,21,27,170,160,183,97,92,103
"Micronesia, Federated States of",108.295,0.7,92,74,5.5,5.1,4.8,3.8,66.5,64.9,63,67.1,68.1,66.1,70.2,63,44,81,51,35,67,211,184,236,176,151,202
Monaco,34.09,1.1,52,53,19.5,20.5,1.7,1.8,81.2,77.8,77.6,77.9,84.5,84,85,5,4,5,3,3,4,109,108,111,47,44,50
Mongolia,2559.431,1.1,81,59,5.9,5.6,3.5,2.4,62.9,60.1,59.8,60.5,65.9,65.5,66.3,75,73,78,66,64,68,319,310,327,219,210,227
Morocco,30071.708,1.7,73,57,6,6.6,3.6,2.8,70.8,68.8,67.4,70.3,72.8,71.6,74.1,43,36,49,41,35,47,160,138,185,104,88,120
Mozambique,18537.207,2.6,96,89,5.2,5.1,6.2,5.7,42.6,41.2,35.3,47.5,43.9,36.8,51.3,212,185,240,201,176,226,613,479,741,519,375,665
Myanmar,48852.484,1.5,69,59,6.8,6.9,3.8,2.9,58.9,56.2,48.4,64,61.8,52.6,69.6,118,88,151,94,66,122,335,175,539,236,107,444
Namibia,1961.164,2.7,87,88,5.4,5.6,5.6,4.6,49.3,48.1,43.3,54.3,50.5,44,56.8,97,86,107,93,83,103,605,479,733,529,404,691
Nauru,12.768,2.5,70,68,6.2,7,4.5,3.9,62.7,59.7,55.6,64,66.5,63.1,70.3,18,14,21,12,10,15,448,326,564,303,211,389
Nepal,24608.866,2.3,81,78,5.6,5.8,5,4.3,60.1,59.9,58.9,61,60.2,59.2,61.1,81,77,85,87,83,91,301,277,325,290,271,310
Netherlands,16066.883,0.6,45,48,17.5,18.5,1.6,1.7,78.6,76,75.7,76.3,81.1,80.8,81.3,6,6,7,5,5,6,94,91,97,65,63,68
