Member State,Total population (2002),Annual Growth Rate (%) 1992-2002,Dependency ratio 1992,Dependency ratio 2002,Percentage of population aged 60+ (1992),Percentage of population aged 60+ (2002),Total Fertility Rate 1992,Total Fertility Rate 2002,LIFE EXPECTANCY AT BIRTH BOTH SEXES 2002 (YEARS),LIFE EXPECTANCY AT BIRTH MALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Upper Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Upper Bound Uncertainty Interval,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) 
Tuvalu,10.466,1.4,71,65,6.2,7.2,3.5,2.9,60.6,60,58.4,61.8,61.4,59.7,62.9,72,54,91,56,43,69,298,247,345,280,234,342
Uganda,25003.512,3,105,111,4.1,3.9,7.1,7.1,49.3,47.9,42.3,53.2,50.8,43.6,56.5,148,142,154,136,130,142,505,370,661,431,306,606
Ukraine,48901.621,-0.6,51,45,18.5,20.8,1.7,1.2,67.2,61.7,61,62.4,72.9,72,73.8,22,19,24,16,15,18,378,343,417,139,120,161
United Arab Emirates,2936.996,2.8,42,37,1.8,2.4,3.9,2.9,72.5,71.3,71,71.5,75.1,74.9,75.3,10,9,11,10,9,10,169,165,174,122,120,125
United Kingdom,59067.963,0.3,54,53,21.1,20.8,1.8,1.6,78.2,75.8,75.3,76.3,80.5,79.9,81,7,6,8,6,5,6,107,101,113,67,61,72
United Republic of Tanzania,36276.403,2.6,96,91,3.7,3.9,6.1,5.2,46.5,45.5,44.3,46.9,47.5,46.2,49,163,149,177,144,132,156,561,534,585,512,484,536
United States of America,291037.954,1.1,52,51,16.4,16.2,2,2.1,77.3,74.6,74.2,75.1,79.8,79.7,80,9,8,9,7,7,7,140,134,148,83,81,84
Uruguay,3390.924,0.7,60,61,16.7,17.3,2.5,2.3,75.2,71,70.5,71.6,79.3,79,79.7,18,15,21,13,12,14,182,172,192,88,84,92
Uzbekistan,25705.481,1.8,81,65,6.5,7,3.7,2.5,68.2,65.6,64.8,66.3,70.8,70.1,71.6,37,36,39,26,25,28,243,224,263,152,136,169
Vanuatu,206.881,2.7,90,80,5.3,4.9,4.9,4.2,67.7,66.4,64.7,68.5,69.1,67.4,70.9,40,30,51,40,30,50,217,185,245,175,150,200
"Venezuela, Bolivarian Republic of",25226.188,2.1,70,60,5.9,6.9,3.3,2.7,73.9,71,70.2,71.8,76.8,76.5,77.2,23,21,26,19,17,21,182,168,197,97,92,103
Viet Nam,80278.208,1.5,76,59,7.3,7.4,3.4,2.3,69.6,67.1,66.3,68.1,72.2,71.4,73.1,41,36,46,33,28,37,200,184,215,129,117,140
Yemen,19315.334,3.9,114,104,3.5,3.6,7.9,7,60.4,58.7,51.1,65.5,62.2,53.8,68.7,106,93,119,94,82,106,286,130,498,228,103,421
Zambia,10697.944,2.1,94,98,4.4,4.7,6.3,5.7,39.7,39.1,34.5,43.6,40.2,35.2,45.4,191,170,214,176,155,195,700,590,810,654,546,768
Zimbabwe,12835.124,1.5,96,87,4.5,5.1,5.2,4,37.9,37.7,35.7,40.2,38,35.8,40.8,115,104,125,107,97,116,821,776,856,789,739,828
