,Member State,Total population (2002),Annual Growth Rate (%) 1992-2002,Dependency ratio 1992,Dependency ratio 2002,Percentage of population aged 60+ (1992),Percentage of population aged 60+ (2002),Total Fertility Rate 1992,Total Fertility Rate 2002,LIFE EXPECTANCY AT BIRTH BOTH SEXES 2002 (YEARS),LIFE EXPECTANCY AT BIRTH MALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH MALES 2002 (years) Upper Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) ,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Lower Bound Uncertainty Interval,LIFE EXPECTANCY AT BIRTH FEMALES 2002 (years) Upper Bound Uncertainty Interval,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING UNDER AGE OF 5 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 MALES 2002 Lower Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Upper Bound Uncertainty Interval (per 1000) ,PROBABILITY OF DYING AGE 15-59 FEMALES 2002 Lower Bound Uncertainty Interval (per 1000) 
30,Canada,31271.069,1.0,47,45,15.8,17.1,1.7,1.5,79.8,77.2,77.0,77.4,82.3,82.1,82.4,6,6,6,5,5,5,95,93,97,58,57,60
35,China,1302307.0690000001,0.9,49,44,8.6,10.0,2.0,1.8,71.1,69.6,69.0,70.3,72.7,72.0,73.5,31,29,33,41,38,44,165,154,175,104,93,112
65,Germany,82414.408,0.2,46,48,20.5,24.0,1.3,1.3,78.7,75.6,75.2,75.9,81.6,81.4,81.7,5,5,6,4,4,4,118,114,123,60,59,62
83,Italy,57482.385,0.1,45,49,21.7,24.5,1.3,1.2,79.7,76.8,76.4,77.1,82.5,82.2,82.8,5,5,6,5,4,5,96,92,100,49,46,51
153,Singapore,4183.273,2.8,38,40,8.7,11.1,1.8,1.4,79.6,77.4,76.4,78.4,81.7,81.3,82.1,4,4,4,3,3,3,90,80,101,53,49,56
183,United States of America,291037.95399999997,1.1,52,51,16.4,16.2,2.0,2.1,77.3,74.6,74.2,75.1,79.8,79.7,80.0,9,8,9,7,7,7,140,134,148,83,81,84
188,Vietnam,80278.208,1.5,76,59,7.3,7.4,3.4,2.3,69.6,67.1,66.3,68.1,72.2,71.4,73.1,41,36,46,33,28,37,200,184,215,129,117,140
